"subplot_name","subplot_id","plot_name","accession_name","plot_number","block_number","is_a_control","rep_number","row_number","col_number","subplot_number"
"CU_ARS_2026_WOP_042_subplot_1","756109","CU_ARS_2026_WOP_042","NC21-6497","042","1","","1","3","2","1"
"CU_ARS_2026_WOP_042_subplot_2","756110","CU_ARS_2026_WOP_042","NC21-6497","042","1","","1","3","2","2"
"CU_ARS_2026_WOP_042_subplot_3","756111","CU_ARS_2026_WOP_042","NC21-6497","042","1","","1","3","2","3"
"CU_ARS_2026_WOP_043_subplot_1","756268","CU_ARS_2026_WOP_043","NC21-6497","043","1","","1","3","3","1"
"CU_ARS_2026_WOP_043_subplot_2","756269","CU_ARS_2026_WOP_043","NC21-6497","043","1","","1","3","3","2"
"CU_ARS_2026_WOP_043_subplot_3","756270","CU_ARS_2026_WOP_043","NC21-6497","043","1","","1","3","3","3"
"CU_ARS_2026_WOP_044_subplot_1","755539","CU_ARS_2026_WOP_044","Horizon 578","044","1","","1","3","4","1"
"CU_ARS_2026_WOP_044_subplot_2","755540","CU_ARS_2026_WOP_044","Horizon 578","044","1","","1","3","4","2"
"CU_ARS_2026_WOP_044_subplot_3","755541","CU_ARS_2026_WOP_044","Horizon 578","044","1","","1","3","4","3"
"CU_ARS_2026_WOP_045_subplot_1","755770","CU_ARS_2026_WOP_045","Horizon 578","045","1","","1","3","5","1"
"CU_ARS_2026_WOP_045_subplot_2","755771","CU_ARS_2026_WOP_045","Horizon 578","045","1","","1","3","5","2"
"CU_ARS_2026_WOP_045_subplot_3","755772","CU_ARS_2026_WOP_045","Horizon 578","045","1","","1","3","5","3"
"CU_ARS_2026_WOP_046_subplot_1","756304","CU_ARS_2026_WOP_046","NF12AS-107-4_4","046","1","","1","3","6","1"
"CU_ARS_2026_WOP_046_subplot_2","756305","CU_ARS_2026_WOP_046","NF12AS-107-4_4","046","1","","1","3","6","2"
"CU_ARS_2026_WOP_046_subplot_3","756306","CU_ARS_2026_WOP_046","NF12AS-107-4_4","046","1","","1","3","6","3"
"CU_ARS_2026_WOP_047_subplot_1","756181","CU_ARS_2026_WOP_047","NF12AS-107-4_4","047","1","","1","3","7","1"
"CU_ARS_2026_WOP_047_subplot_2","756182","CU_ARS_2026_WOP_047","NF12AS-107-4_4","047","1","","1","3","7","2"
"CU_ARS_2026_WOP_047_subplot_3","756183","CU_ARS_2026_WOP_047","NF12AS-107-4_4","047","1","","1","3","7","3"
"CU_ARS_2026_WOP_048_subplot_1","756403","CU_ARS_2026_WOP_048","NO_OATS_PLANTED","048","1","","1","3","8","1"
"CU_ARS_2026_WOP_048_subplot_2","756404","CU_ARS_2026_WOP_048","NO_OATS_PLANTED","048","1","","1","3","8","2"
"CU_ARS_2026_WOP_048_subplot_3","756405","CU_ARS_2026_WOP_048","NO_OATS_PLANTED","048","1","","1","3","8","3"
"CU_ARS_2026_WOP_049_subplot_1","756148","CU_ARS_2026_WOP_049","PA7617-3658","049","1","","1","3","9","1"
"CU_ARS_2026_WOP_049_subplot_2","756149","CU_ARS_2026_WOP_049","PA7617-3658","049","1","","1","3","9","2"
"CU_ARS_2026_WOP_049_subplot_3","756150","CU_ARS_2026_WOP_049","PA7617-3658","049","1","","1","3","9","3"
"CU_ARS_2026_WOP_050_subplot_1","755971","CU_ARS_2026_WOP_050","NC14-1543","050","1","","1","3","10","1"
"CU_ARS_2026_WOP_050_subplot_2","755972","CU_ARS_2026_WOP_050","NC14-1543","050","1","","1","3","10","2"
"CU_ARS_2026_WOP_050_subplot_3","755973","CU_ARS_2026_WOP_050","NC14-1543","050","1","","1","3","10","3"
"CU_ARS_2026_WOP_051_subplot_1","755701","CU_ARS_2026_WOP_051","NC14-1543","051","1","","1","3","11","1"
"CU_ARS_2026_WOP_051_subplot_2","755702","CU_ARS_2026_WOP_051","NC14-1543","051","1","","1","3","11","2"
"CU_ARS_2026_WOP_051_subplot_3","755703","CU_ARS_2026_WOP_051","NC14-1543","051","1","","1","3","11","3"
"CU_ARS_2026_WOP_052_subplot_1","756031","CU_ARS_2026_WOP_052","OKAY","052","2","","1","3","12","1"
"CU_ARS_2026_WOP_052_subplot_2","756032","CU_ARS_2026_WOP_052","OKAY","052","2","","1","3","12","2"
"CU_ARS_2026_WOP_052_subplot_3","756033","CU_ARS_2026_WOP_052","OKAY","052","2","","1","3","12","3"
"CU_ARS_2026_WOP_053_subplot_1","756175","CU_ARS_2026_WOP_053","OKAY","053","2","","1","3","13","1"
"CU_ARS_2026_WOP_053_subplot_2","756176","CU_ARS_2026_WOP_053","OKAY","053","2","","1","3","13","2"
"CU_ARS_2026_WOP_053_subplot_3","756177","CU_ARS_2026_WOP_053","OKAY","053","2","","1","3","13","3"
"CU_ARS_2026_WOP_054_subplot_1","755461","CU_ARS_2026_WOP_054","NC14-1533","054","2","","1","3","14","1"
"CU_ARS_2026_WOP_054_subplot_2","755462","CU_ARS_2026_WOP_054","NC14-1533","054","2","","1","3","14","2"
"CU_ARS_2026_WOP_054_subplot_3","755463","CU_ARS_2026_WOP_054","NC14-1533","054","2","","1","3","14","3"
"CU_ARS_2026_WOP_055_subplot_1","755698","CU_ARS_2026_WOP_055","NC14-1533","055","2","","1","3","15","1"
"CU_ARS_2026_WOP_055_subplot_2","755699","CU_ARS_2026_WOP_055","NC14-1533","055","2","","1","3","15","2"
"CU_ARS_2026_WOP_055_subplot_3","755700","CU_ARS_2026_WOP_055","NC14-1533","055","2","","1","3","15","3"
"CU_ARS_2026_WOP_056_subplot_1","756202","CU_ARS_2026_WOP_056","FL16531-59","056","2","","1","3","16","1"
"CU_ARS_2026_WOP_056_subplot_2","756203","CU_ARS_2026_WOP_056","FL16531-59","056","2","","1","3","16","2"
"CU_ARS_2026_WOP_056_subplot_3","756204","CU_ARS_2026_WOP_056","FL16531-59","056","2","","1","3","16","3"
"CU_ARS_2026_WOP_057_subplot_1","756271","CU_ARS_2026_WOP_057","FL16531-59","057","2","","1","3","17","1"
"CU_ARS_2026_WOP_057_subplot_2","756272","CU_ARS_2026_WOP_057","FL16531-59","057","2","","1","3","17","2"
"CU_ARS_2026_WOP_057_subplot_3","756273","CU_ARS_2026_WOP_057","FL16531-59","057","2","","1","3","17","3"
"CU_ARS_2026_WOP_058_subplot_1","756466","CU_ARS_2026_WOP_058","OZARK|POGI","058","2","","1","3","18","1"
"CU_ARS_2026_WOP_058_subplot_2","756467","CU_ARS_2026_WOP_058","OZARK|POGI","058","2","","1","3","18","2"
"CU_ARS_2026_WOP_058_subplot_3","756468","CU_ARS_2026_WOP_058","OZARK|POGI","058","2","","1","3","18","3"
"CU_ARS_2026_WOP_059_subplot_1","756052","CU_ARS_2026_WOP_059","OZARK|POGI","059","2","","1","3","19","1"
"CU_ARS_2026_WOP_059_subplot_2","756053","CU_ARS_2026_WOP_059","OZARK|POGI","059","2","","1","3","19","2"
"CU_ARS_2026_WOP_059_subplot_3","756054","CU_ARS_2026_WOP_059","OZARK|POGI","059","2","","1","3","19","3"
"CU_ARS_2026_WOP_060_subplot_1","755635","CU_ARS_2026_WOP_060","NF12AS-108-4_1","060","2","","1","3","20","1"
